"Air Lock","While this Pokemon is active, the effects of weather conditions are disabled.",
"Arena Trap","Prevents opposing Pokemon from choosing to switch out unless they are airborne.",
"Battle Armor","This Pokemon cannot be struck by a critical hit.",
"Blaze","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its Fire-type attacks have their power multiplied by 1.5.",
"Chlorophyll","If Sunny Day is active, this Pokemon's Speed is doubled.",
"Clear Body","Prevents other Pokemon from lowering this Pokemon's stat stages.",
"Cloud Nine","While this Pokemon is active, the effects of weather conditions are disabled.",
"Color Change","This Pokemon's type changes to match the type of the last move that hit it, unless that type is already one of its types. This effect applies after each hit from a multi-hit move. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Compound Eyes","This Pokemon's moves have their accuracy multiplied by 1.3.",
"Cute Charm","There is a 1/3 chance a Pokemon making contact with this Pokemon will become infatuated if it is of the opposite gender. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Damp","While this Pokemon is active, Explosion and Self-Destruct are prevented from having an effect.",
"Drizzle","On switch-in, this Pokemon summons Rain Dance.",
"Drought","On switch-in, this Pokemon summons Sunny Day.",
"Early Bird","This Pokemon's sleep counter drops by 2 instead of 1.",
"Effect Spore","10% chance a Pokemon making contact with this Pokemon will be poisoned, paralyzed, or fall asleep. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Flame Body","1/3 chance a Pokemon making contact with this Pokemon will be burned. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Flash Fire","This Pokemon is immune to Fire-type moves, as long as it is not frozen. The first time it is hit by a Fire-type move, damage from its Fire-type attacks will be multiplied by 1.5 as long as it remains active and has this Ability. If this Pokemon has a non-volatile status condition, is a Fire type, or has a substitute, Will-O-Wisp will not activate this Ability.",
"Forecast","If this Pokemon is a Castform, its type changes to the current weather condition's type, except Sandstorm.",
"Guts","If this Pokemon has a non-volatile status condition, its Attack is multiplied by 1.5. This Pokemon's physical attacks ignore the burn effect of halving damage.",
"Huge Power","This Pokemon's Attack is doubled.",
"Hustle","This Pokemon's Attack is multiplied by 1.5 and the accuracy of its physical attacks is multiplied by 0.8.",
"Hyper Cutter","Prevents other Pokemon from lowering this Pokemon's Attack stat stage.",
"Illuminate","Prevents other Pokemon from lowering this Pokemon's accuracy stat stage. This Pokemon ignores a target's evasiveness stat stage.",
"Immunity","This Pokemon cannot be poisoned. Gaining this Ability while poisoned cures it.",
"Inner Focus","This Pokemon cannot be made to flinch.",
"Insomnia","This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.",
"Intimidate","On switch-in, this Pokemon lowers the Attack of opposing Pokemon by 1 stage. Pokemon behind a substitute are immune.",
"Keen Eye","Prevents other Pokemon from lowering this Pokemon's accuracy stat stage.",
"Levitate","This Pokemon is immune to Ground-type attacks and the effects of Spikes and the Arena Trap Ability.",
"Lightning Rod","If this Pokemon is not the target of a single-target Electric-type move used by an opposing Pokemon, this Pokemon redirects that move to itself. This effect considers Hidden Power a Normal-type move.",
"Limber","This Pokemon cannot be paralyzed. Gaining this Ability while paralyzed cures it.",
"Liquid Ooze","This Pokemon damages those draining HP from it for as much as they would heal. This effect does not consider Dream Eater.",
"Magma Armor","This Pokemon cannot be frozen. Gaining this Ability while frozen cures it.",
"Magnet Pull","Prevents Steel-type Pokemon from choosing to switch out, other than this Pokemon.",
"Marvel Scale","If this Pokemon has a non-volatile status condition, its Defense is multiplied by 1.5.",
"Minus","If an active Pokemon has the Plus Ability, this Pokemon's Special Attack is multiplied by 1.5.",
"Natural Cure","This Pokemon has its non-volatile status condition cured when it switches out.",
"Oblivious","This Pokemon cannot be infatuated. Gaining this Ability while infatuated cures it.",
"Overgrow","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its Grass-type attacks have their power multiplied by 1.5.",
"Own Tempo","This Pokemon cannot be confused. Gaining this Ability while confused cures it.",
"Pickup","No competitive use.",
"Plus","If an active Pokemon has the Minus Ability, this Pokemon's Special Attack is multiplied by 1.5.",
"Poison Point","1/3 chance a Pokemon making contact with this Pokemon will be poisoned. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Pressure","If this Pokemon is the target of another Pokemon's move, that move loses one additional PP.",
"Pure Power","This Pokemon's Attack is doubled.",
"Rain Dish","If Rain Dance is active, this Pokemon restores 1/16 of its maximum HP, rounded down, at the end of each turn.",
"Rock Head","This Pokemon does not take recoil damage, except Struggle. Does not affect crash damage.",
"Rough Skin","Pokemon making contact with this Pokemon lose 1/16 of their maximum HP, rounded down. This effect does not happen if this Pokemon did not lose HP from the attack.",
"Run Away","No competitive use.",
"Sand Stream","On switch-in, this Pokemon summons Sandstorm.",
"Sand Veil","If Sandstorm is active, the accuracy of moves used against this Pokemon is multiplied by 0.8. This Pokemon takes no damage from Sandstorm.",
"Serene Grace","This Pokemon's moves have their secondary effect chance doubled.",
