"Adamant Orb","If held by a Dialga, its Steel- and Dragon-type attacks have 1.2x power.",
"Aguav Berry","Restores 1/8 max HP at 1/2 max HP or less; confuses if -SpD Nature. Single use.",
"Apicot Berry","Raises holder's Sp. Def by 1 stage when at 1/4 max HP or less. Single use.",
"Armor Fossil","Can be revived into Shieldon.",
"Aspear Berry","Holder is cured if it is frozen. Single use.",
"Babiri Berry","Halves damage taken from a supereffective Steel-type attack. Single use.",
"Belue Berry","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Berry Juice","Restores 20 HP when at 1/2 max HP or less. Single use.",
"Big Root","Holder gains 1.3x HP from draining moves, Aqua Ring, Ingrain, and Leech Seed.",
"Black Belt","Holder's Fighting-type attacks have 1.2x power.",
"Black Glasses","Holder's Dark-type attacks have 1.2x power.",
"Black Sludge","Each turn, if holder is a Poison type, restores 1/16 max HP; loses 1/8 if not.",
"Bluk Berry","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Bright Powder","The accuracy of attacks against the holder is 0.9x.",
"Charcoal","Holder's Fire-type attacks have 1.2x power.",
"Charti Berry","Halves damage taken from a supereffective Rock-type attack. Single use.",
"Cheri Berry","Holder cures itself if it is paralyzed. Single use.",
"Chesto Berry","Holder wakes up if it is asleep. Single use.",
"Chilan Berry","Halves damage taken from a Normal-type attack. Single use.",
"Choice Band","Holder's Attack is 1.5x, but it can only select the first move it executes.",
"Choice Scarf","Holder's Speed is 1.5x, but it can only select the first move it executes.",
"Choice Specs","Holder's Sp. Atk is 1.5x, but it can only select the first move it executes.",
"Chople Berry","Halves damage taken from a supereffective Fighting-type attack. Single use.",
"Claw Fossil","Can be revived into Anorith.",
"Coba Berry","Halves damage taken from a supereffective Flying-type attack. Single use.",
"Colbur Berry","Halves damage taken from a supereffective Dark-type attack. Single use.",
"Cornn Berry","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Custap Berry","Holder moves first in its priority bracket when at 1/4 max HP or less. Single use.",
"Damp Rock","Holder's use of Rain Dance lasts 8 turns instead of 5.",
"Dawn Stone","Evolves male Kirlia into Gallade and female Snorunt into Froslass when used.",
"Deep Sea Scale","If held by a Clamperl, its Sp. Def is doubled. Evolves Clamperl into Gorebyss when traded.",
"Deep Sea Tooth","If held by a Clamperl, its Sp. Atk is doubled. Evolves Clamperl into Huntail when traded.",
"Destiny Knot","If holder becomes infatuated, the other Pokemon also becomes infatuated.",
"Dive Ball","A Poke Ball that works especially well on Pokemon that live underwater.",
"Dome Fossil","Can be revived into Kabuto.",
"Draco Plate","Holder's Dragon-type attacks have 1.2x power. Judgment is Dragon type.",
"Dragon Fang","Holder's Dragon-type attacks have 1.2x power.",
"Dragon Scale","Evolves Seadra into Kingdra when traded.",
"Dread Plate","Holder's Dark-type attacks have 1.2x power. Judgment is Dark type.",
"Dubious Disc","Evolves Porygon2 into Porygon-Z when traded.",
"Durin Berry","Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.",
"Dusk Ball","A Poke Ball that makes it easier to catch wild Pokemon at night or in caves.",
"Dusk Stone","Evolves Murkrow into Honchkrow, Misdreavus into Mismagius, Lampent into Chandelure, and Doublade into Aegislash when used.",
