"Adaptability","This Pokemon's moves that match one of its types have a same-type attack bonus (STAB) of 2 instead of 1.5.",
"Aftermath","If this Pokemon is knocked out with a contact move, that move's user loses 1/4 of its maximum HP, rounded down. If any active Pokemon has the Damp Ability, this effect is prevented.",
"Air Lock","While this Pokemon is active, the effects of weather conditions are disabled.",
"Analytic","The power of this Pokemon's move is multiplied by 1.3 if it is the last to move in a turn. Does not affect Doom Desire and Future Sight.",
"Anger Point","If this Pokemon, but not its substitute, is struck by a critical hit, its Attack is raised by 12 stages.",
"Anticipation","On switch-in, this Pokemon is alerted if any opposing Pokemon has an attack that is super effective against this Pokemon, or an OHKO move. This effect considers any move that deals direct damage as an attacking move of its respective type, and Hidden Power, Judgment, Natural Gift, Techno Blast, and Weather Ball are considered Normal-type moves.",
"Arena Trap","Prevents adjacent opposing Pokemon from choosing to switch out unless they are airborne or holding a Shed Shell.",
"Bad Dreams","Causes adjacent opposing Pokemon to lose 1/8 of their maximum HP, rounded down, at the end of each turn if they are asleep.",
"Battle Armor","This Pokemon cannot be struck by a critical hit.",
"Big Pecks","Prevents other Pokemon from lowering this Pokemon's Defense stat stage.",
"Blaze","When this Pokemon has 1/3 or less of its maximum HP, rounded down, its offensive stat is multiplied by 1.5 while using a Fire-type attack.",
"Chlorophyll","If Sunny Day is active, this Pokemon's Speed is doubled.",
"Clear Body","Prevents other Pokemon from lowering this Pokemon's stat stages.",
"Cloud Nine","While this Pokemon is active, the effects of weather conditions are disabled.",
"Color Change","This Pokemon's type changes to match the type of the last move that hit it, unless that type is already one of its types. This effect applies after all hits from a multi-hit move. This effect is prevented if the move had a secondary effect removed by the Sheer Force Ability.",
"Compound Eyes","This Pokemon's moves have their accuracy multiplied by 1.3.",
"Contrary","If this Pokemon has a stat stage raised it is lowered instead, and vice versa.",
"Cursed Body","If this Pokemon is hit by an attack, there is a 30% chance that move gets disabled unless one of the attacker's moves is already disabled.",
"Cute Charm","There is a 30% chance a Pokemon making contact with this Pokemon will become infatuated if it is of the opposite gender.",
"Damp","While this Pokemon is active, Explosion, Self-Destruct, and the Aftermath Ability are prevented from having an effect.",
"Defeatist","While this Pokemon has 1/2 or less of its maximum HP, its Attack and Special Attack are halved.",
"Defiant","This Pokemon's Attack is raised by 2 stages for each of its stat stages that is lowered by an opposing Pokemon.",
"Download","On switch-in, this Pokemon's Attack or Special Attack is raised by 1 stage based on the weaker combined defensive stat of all opposing Pokemon. Attack is raised if their Defense is lower, and Special Attack is raised if their Special Defense is the same or lower.",
"Drizzle","On switch-in, this Pokemon summons Rain Dance.",
"Drought","On switch-in, this Pokemon summons Sunny Day.",
"Dry Skin","This Pokemon is immune to Water-type moves and restores 1/4 of its maximum HP, rounded down, when hit by a Water-type move. The power of Fire-type moves is multiplied by 1.25 when used on this Pokemon. At the end of each turn, this Pokemon restores 1/8 of its maximum HP, rounded down, if the weather is Rain Dance, and loses 1/8 of its maximum HP, rounded down, if the weather is Sunny Day.",
"Early Bird","This Pokemon's sleep counter drops by 2 instead of 1.",
"Effect Spore","30% chance a Pokemon making contact with this Pokemon will be poisoned, paralyzed, or fall asleep.",
"Filter","This Pokemon receives 3/4 damage from supereffective attacks.",
"Flame Body","30% chance a Pokemon making contact with this Pokemon will be burned.",
"Flare Boost","While this Pokemon is burned, the power of its special attacks is multiplied by 1.5.",
"Flash Fire","This Pokemon is immune to Fire-type moves. The first time it is hit by a Fire-type move, its offensive stat is multiplied by 1.5 while using a Fire-type attack as long as it remains active and has this Ability. If this Pokemon is frozen, it cannot be defrosted by Fire-type attacks.",
"Flower Gift","If this Pokemon is a Cherrim and Sunny Day is active, it changes to Sunshine Form and the Attack and Special Defense of it and its allies are multiplied by 1.5.",
"Forecast","If this Pokemon is a Castform, its type changes to the current weather condition's type, except Sandstorm.",
"Forewarn","On switch-in, this Pokemon is alerted to the move with the highest power, at random, known by an opposing Pokemon. This effect considers OHKO moves to have 150 power, Counter, Mirror Coat, and Metal Burst to have 120 power, every other attacking move with an unspecified power to have 80 power, and non-damaging moves to have 1 power.",
"Friend Guard","This Pokemon's allies receive 3/4 damage from other Pokemon's attacks.",
"Frisk","On switch-in, this Pokemon identifies the held item of a random opposing Pokemon.",
"Gluttony","When this Pokemon is holding a Berry that usually activates with 1/4 or less of its maximum HP, it is eaten at 1/2 or less of its maximum HP instead.",
"Guts","If this Pokemon has a non-volatile status condition, its Attack is multiplied by 1.5. This Pokemon's physical attacks ignore the burn effect of halving damage.",
