"Absorb (吸取)","Grass","Special",20,100,20,20,0,"normal","The user recovers 1/2 the HP lost by the target, rounded down. If this move breaks the target's substitute, the user does not recover any HP.",
"Acid (溶解液)","Poison","Physical",40,100,40,30,0,"normal","Has a 33% chance to lower the target's Defense by 1 stage.",
"Acid Armor (溶化)","Poison","Status",0,true,0,40,0,"self","Raises the user's Defense by 2 stages.",
"Agility (高速移动)","Psychic","Status",0,true,0,30,0,"self","Raises the user's Speed by 2 stages.",
"Amnesia (瞬间失忆)","Psychic","Status",0,true,0,20,0,"self","Raises the user's Special by 2 stages.",
"Aurora Beam (极光束)","Ice","Special",65,100,65,20,0,"normal","Has a 33% chance to lower the target's Attack by 1 stage.",
"Barrage (投球)","Normal","Physical",15,85,12.75,20,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Barrier (屏障)","Psychic","Status",0,true,0,30,0,"self","Raises the user's Defense by 2 stages.",
"Bide (忍耐)","???","Physical",0,true,0,10,0,"self","The user spends two or three turns locked into this move and then, on the second or third turn after using this move, the user attacks the opponent, inflicting double the damage in HP it lost during those turns. This move ignores type immunity and cannot be avoided even if the target is using Dig or Fly. The user can choose to switch out during the effect. If the user switches out or is prevented from moving during this move's use, the effect ends. During the effect, if the opposing Pokemon switches out or uses Confuse Ray, Conversion, Focus Energy, Glare, Haze, Leech Seed, Light Screen, Mimic, Mist, Poison Gas, Poison Powder, Recover, Reflect, Rest, Soft-Boiled, Splash, Stun Spore, Substitute, Supersonic, Teleport, Thunder Wave, Toxic, or Transform, the previous damage dealt to the user will be added to the total.",
"Bind (绑紧)","Normal","Physical",15,75,11.25,20,0,"normal","The user spends two to five turns using this move. Has a 3/8 chance to last two or three turns, and a 1/8 chance to last four or five turns. The damage calculated for the first turn is used for every other turn. The user cannot select a move and the target cannot execute a move during the effect, but both may switch out. If the user switches out, the target remains unable to execute a move during that turn. If the target switches out, the user uses this move again automatically, and if it had 0 PP at the time, it becomes 63. If the user or the target switch out, or the user is prevented from moving, the effect ends. This move can prevent the target from moving even if it has type immunity, but will not deal damage.",
"Bite (咬住)","Normal","Physical",60,100,60,25,0,"normal","Has a 10% chance to make the target flinch.",
"Blizzard (暴风雪)","Ice","Special",120,90,108,5,0,"normal","Has a 10% chance to freeze the target.",
"Body Slam (泰山压顶)","Normal","Physical",85,100,85,15,0,"normal","Has a 30% chance to paralyze the target.",
"Bone Club (骨棒)","Ground","Physical",65,85,55.25,20,0,"normal","Has a 10% chance to make the target flinch.",
"Bonemerang (骨头回力镖)","Ground","Physical",50,90,45,10,0,"normal","Hits twice. If the first hit breaks the target's substitute, the move ends.",
"Bubble (泡沫)","Water","Special",20,100,20,30,0,"normal","Has a 33% chance to lower the target's Speed by 1 stage.",
"Bubble Beam (泡沫光线)","Water","Special",65,100,65,20,0,"normal","Has a 33% chance to lower the target's Speed by 1 stage.",
"Clamp (贝壳夹击)","Water","Special",35,75,26.25,10,0,"normal","The user spends two to five turns using this move. Has a 3/8 chance to last two or three turns, and a 1/8 chance to last four or five turns. The damage calculated for the first turn is used for every other turn. The user cannot select a move and the target cannot execute a move during the effect, but both may switch out. If the user switches out, the target remains unable to execute a move during that turn. If the target switches out, the user uses this move again automatically, and if it had 0 PP at the time, it becomes 63. If the user or the target switch out, or the user is prevented from moving, the effect ends. This move can prevent the target from moving even if it has type immunity, but will not deal damage.",
"Comet Punch (连续拳)","Normal","Physical",18,85,15.3,15,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Confuse Ray (奇异之光)","Ghost","Status",0,100,0,10,0,"normal","Causes the target to become confused.",
"Confusion (念力)","Psychic","Special",50,100,50,25,0,"normal","Has a 10% chance to confuse the target.",
"Constrict (缠绕)","Normal","Physical",10,100,10,35,0,"normal","Has a 33% chance to lower the target's Speed by 1 stage.",
"Conversion (纹理)","Normal","Status",0,true,0,30,0,"normal","Causes the user's types to become the same as the current types of the target.",
"Counter (双倍奉还)","Fighting","Physical",1,100,1,20,-1,"scripted","Deals damage to the opposing Pokemon equal to twice the damage dealt by the last move used in the battle. This move ignores type immunity. Fails if the user moves first, or if the opposing side's last move was Counter, had 0 power, or was not Normal or Fighting type. Fails if the last move used by either side did 0 damage and was not Confuse Ray, Conversion, Focus Energy, Glare, Haze, Leech Seed, Light Screen, Mimic, Mist, Poison Gas, Poison Powder, Recover, Reflect, Rest, Soft-Boiled, Splash, Stun Spore, Substitute, Supersonic, Teleport, Thunder Wave, Toxic, or Transform.",
"Crabhammer (蟹钳锤)","Water","Special",90,85,76.5,10,0,"normal","Has a higher chance for a critical hit.",
"Cut (居合劈)","Normal","Physical",50,95,47.5,30,0,"normal","No additional effect.",
"Defense Curl (变圆)","Normal","Status",0,true,0,40,0,"self","Raises the user's Defense by 1 stage.",
"Dig (挖洞)","Ground","Physical",100,100,100,10,0,"normal","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Bide, Swift, and Transform. If the user is fully paralyzed on the second turn, it continues avoiding attacks until it switches out or successfully executes the second turn of this move or Fly.",
"Disable (定身法)","Normal","Status",0,55,0,20,0,"normal","For 0 to 7 turns, one of the target's known moves that has at least 1 PP remaining becomes disabled, at random. Fails if one of the target's moves is already disabled, or if none of the target's moves have PP remaining. If any Pokemon uses Haze, this effect ends. Whether or not this move was successful, it counts as a hit for the purposes of the opponent's use of Rage.",
"Dizzy Punch (迷昏拳)","Normal","Physical",70,100,70,10,0,"normal","No additional effect.",
"Double Kick (二连踢)","Fighting","Physical",30,100,30,30,0,"normal","Hits twice. Damage is calculated once for the first hit and used for both hits. If the first hit breaks the target's substitute, the move ends.",
"Double Slap (连环巴掌)","Normal","Physical",15,85,12.75,10,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Double Team (影子分身)","Normal","Status",0,true,0,15,0,"self","Raises the user's evasiveness by 1 stage.",
"Double-Edge (舍身冲撞)","Normal","Physical",100,100,100,15,0,"normal","If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded down, but not less than 1 HP. If this move breaks the target's substitute, the user does not take any recoil damage.",
"Dragon Rage (龙之怒)","Dragon","Special",1,100,1,10,0,"normal","Deals 40 HP of damage to the target.",
"Dream Eater (食梦)","Psychic","Special",100,100,100,15,0,"normal","The target is unaffected by this move unless it is asleep. The user recovers 1/2 the HP lost by the target, rounded down, but not less than 1 HP. If this move breaks the target's substitute, the user does not recover any HP.",
"Drill Peck (啄钻)","Flying","Physical",80,100,80,20,0,"any","No additional effect.",
"Earthquake (地震)","Ground","Physical",100,100,100,10,0,"allAdjacent","No additional effect.",
"Egg Bomb (炸蛋)","Normal","Physical",100,75,75,10,0,"normal","No additional effect.",
"Ember (火花)","Fire","Special",40,100,40,25,0,"normal","Has a 10% chance to burn the target.",
"Explosion (大爆炸)","Normal","Physical",170,100,170,5,0,"normal","The user faints after using this move, unless this move broke the target's substitute. The target's Defense is halved during damage calculation.",
"Fire Blast (大字爆炎)","Fire","Special",120,85,102,5,0,"normal","Has a 30% chance to burn the target.",
"Fire Punch (火焰拳)","Fire","Special",75,100,75,15,0,"normal","Has a 10% chance to burn the target.",
"Fire Spin (火焰旋涡)","Fire","Special",15,70,10.5,15,0,"normal","The user spends two to five turns using this move. Has a 3/8 chance to last two or three turns, and a 1/8 chance to last four or five turns. The damage calculated for the first turn is used for every other turn. The user cannot select a move and the target cannot execute a move during the effect, but both may switch out. If the user switches out, the target remains unable to execute a move during that turn. If the target switches out, the user uses this move again automatically, and if it had 0 PP at the time, it becomes 63. If the user or the target switch out, or the user is prevented from moving, the effect ends. This move can prevent the target from moving even if it has type immunity, but will not deal damage.",
"Fissure (地裂)","Ground","Physical",0,30,0,5,0,"normal","Deals 65535 damage to the target. Fails if the target's Speed is greater than the user's.",
"Flamethrower (喷射火焰)","Fire","Special",95,100,95,15,0,"normal","Has a 10% chance to burn the target.",
"Flash (闪光)","Normal","Status",0,70,0,20,0,"normal","Lowers the target's accuracy by 1 stage.",
"Fly (飞翔)","Flying","Physical",70,95,66.5,15,0,"any","This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Bide, Swift, and Transform. If the user is fully paralyzed on the second turn, it continues avoiding attacks until it switches out or successfully executes the second turn of this move or Dig.",
"Focus Energy (聚气)","Normal","Status",0,true,0,30,0,"self","While the user remains active, its chance for a critical hit is quartered. Fails if the user already has the effect. If any Pokemon uses Haze, this effect ends.",
"Fury Attack (乱击)","Normal","Physical",15,85,12.75,20,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Fury Swipes (乱抓)","Normal","Physical",18,80,14.4,15,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Glare (大蛇瞪眼)","Normal","Status",0,75,0,30,0,"normal","Paralyzes the target.",
"Growl (叫声)","Normal","Status",0,100,0,40,0,"allAdjacentFoes","Lowers the target's Attack by 1 stage.",
"Growth (生长)","Normal","Status",0,true,0,40,0,"self","Raises the user's Special by 1 stage.",
"Guillotine (极落钳)","Normal","Physical",0,30,0,5,0,"normal","Deals 65535 damage to the target. Fails if the target's Speed is greater than the user's.",
"Gust (起风)","Normal","Physical",40,100,40,35,0,"any","No additional effect.",
"Harden (变硬)","Normal","Status",0,true,0,30,0,"self","Raises the user's Defense by 1 stage.",
"Haze (黑雾)","Ice","Status",0,true,0,30,0,"self","Resets the stat stages of both Pokemon to 0 and removes stat reductions due to burn and paralysis. Resets Toxic counters to 0 and removes the effect of confusion, Disable, Focus Energy, Leech Seed, Light Screen, Mist, and Reflect from both Pokemon. Removes the opponent's non-volatile status condition.",
"Headbutt (头锤)","Normal","Physical",70,100,70,15,0,"normal","Has a 30% chance to make the target flinch.",
"High Jump Kick (飞膝踢)","Fighting","Physical",85,90,76.5,20,0,"normal","If this attack misses the target, the user takes 1 HP of crash damage. If the user has a substitute, the crash damage is dealt to the target's substitute if it has one, otherwise no crash damage is dealt.",
"Horn Attack (角撞)","Normal","Physical",65,100,65,25,0,"normal","No additional effect.",
"Horn Drill (角钻)","Normal","Physical",0,30,0,5,0,"normal","Deals 65535 damage to the target. Fails if the target's Speed is greater than the user's.",
"Hydro Pump (水炮)","Water","Special",120,80,96,5,0,"normal","No additional effect.",
"Hyper Beam (破坏光线)","Normal","Physical",150,90,135,5,0,"normal","If this move is successful, the user must recharge on the following turn and cannot select a move, unless the target or its substitute was knocked out by this move.",
"Hyper Fang (终结门牙)","Normal","Physical",80,90,72,15,0,"normal","Has a 10% chance to make the target flinch.",
"Hypnosis (催眠术)","Psychic","Status",0,60,0,20,0,"normal","Causes the target to fall asleep.",
"Ice Beam (冰冻光束)","Ice","Special",95,100,95,10,0,"normal","Has a 10% chance to freeze the target.",
"Ice Punch (冰冻拳)","Ice","Special",75,100,75,15,0,"normal","Has a 10% chance to freeze the target.",
"Jump Kick (飞踢)","Fighting","Physical",70,95,66.5,25,0,"normal","If this attack misses the target, the user takes 1 HP of crash damage. If the user has a substitute, the crash damage is dealt to the target's substitute if it has one, otherwise no crash damage is dealt.",
"Karate Chop (空手劈)","Normal","Physical",50,100,50,25,0,"normal","Has a higher chance for a critical hit.",
"Kinesis (折弯汤匙)","Psychic","Status",0,80,0,15,0,"normal","Lowers the target's accuracy by 1 stage.",
"Leech Life (汲取)","Bug","Physical",20,100,20,15,0,"normal","The user recovers 1/2 the HP lost by the target, rounded down.",
"Leech Seed (寄生种子)","Grass","Status",0,90,0,10,0,"normal","At the end of each of the target's turns, The Pokemon at the user's position steals 1/16 of the target's maximum HP, rounded down and multiplied by the target's current Toxic counter if it has one, even if the target currently has less than that amount of HP remaining. If the target switches out or any Pokemon uses Haze, this effect ends. Grass-type Pokemon are immune to this move.",
"Leer (瞪眼)","Normal","Status",0,100,0,30,0,"allAdjacentFoes","Lowers the target's Defense by 1 stage.",
"Lick (舌舔)","Ghost","Physical",20,100,20,30,0,"normal","Has a 30% chance to paralyze the target.",
"Light Screen (光墙)","Psychic","Status",0,true,0,30,0,"self","While the user remains active, its Special is doubled when taking damage. Critical hits ignore this effect. If any Pokemon uses Haze, this effect ends.",
"Lovely Kiss (恶魔之吻)","Normal","Status",0,75,0,10,0,"normal","Causes the target to fall asleep.",
"Low Kick (踢倒)","Fighting","Physical",50,90,45,20,0,"normal","Has a 30% chance to make the target flinch.",
"Meditate (瑜伽姿势)","Psychic","Status",0,true,0,40,0,"self","Raises the user's Attack by 1 stage.",
"Mega Drain (超级吸取)","Grass","Special",40,100,40,10,0,"normal","The user recovers 1/2 the HP lost by the target, rounded down.",
"Mega Kick (百万吨重踢)","Normal","Physical",120,75,90,5,0,"normal","No additional effect.",
"Mega Punch (百万吨重拳)","Normal","Physical",80,85,68,20,0,"normal","No additional effect.",
"Metronome (挥指)","Normal","Status",0,true,0,10,0,"self","A random move is selected for use, other than Metronome or Struggle.",
"Mimic (模仿)","Normal","Status",0,100,0,10,0,"normal","While the user remains active, this move is replaced by a random move known by the target, even if the user already knows that move. The copied move keeps the remaining PP for this move, regardless of the copied move's maximum PP. Whenever one PP is used for a copied move, one PP is used for this move.",
"Minimize (变小)","Normal","Status",0,true,0,20,0,"self","Raises the user's evasiveness by 1 stage.",
"Mirror Move (鹦鹉学舌)","Flying","Status",0,true,0,20,0,"self","The user uses the last move used by the target. Fails if the target has not made a move since the user switched in, or if the last move used was Mirror Move.",
"Mist (白雾)","Ice","Status",0,true,0,30,0,"self","While the user remains active, it is protected from having its stat stages lowered by other Pokemon, unless caused by the secondary effect of a move. Fails if the user already has the effect. If any Pokemon uses Haze, this effect ends.",
"Night Shade (黑夜魔影)","Ghost","Physical",1,100,1,15,0,"normal","Deals damage to the target equal to the user's level. This move ignores type immunity.",
"Pay Day (聚宝功)","Normal","Physical",40,100,40,20,0,"normal","No additional effect.",
"Peck (啄)","Flying","Physical",35,100,35,35,0,"any","No additional effect.",
"Petal Dance (花瓣舞)","Grass","Special",70,100,70,20,0,"randomNormal","Whether or not this move is successful, the user spends three or four turns locked into this move and becomes confused immediately after its move on the last turn of the effect, even if it is already confused. If the user is prevented from moving, the effect ends without causing confusion. During the effect, this move's accuracy is overwritten every turn with the current calculated accuracy including stat stage changes, but not to less than 1/256 or more than 255/256.",
"Pin Missile (飞弹针)","Bug","Physical",14,85,11.9,20,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Poison Gas (毒瓦斯)","Poison","Status",0,55,0,40,0,"normal","Poisons the target.",
"Poison Powder (毒粉)","Poison","Status",0,75,0,35,0,"normal","Poisons the target.",
"Poison Sting (毒针)","Poison","Physical",15,100,15,35,0,"normal","Has a 20% chance to poison the target.",
"Pound (拍击)","Normal","Physical",40,100,40,35,0,"normal","No additional effect.",
"Psybeam (幻象光线)","Psychic","Special",65,100,65,20,0,"normal","Has a 10% chance to confuse the target.",
"Psychic (精神强念)","Psychic","Special",90,100,90,10,0,"normal","Has a 33% chance to lower the target's Special by 1 stage.",
"Psywave (精神波)","Psychic","Special",1,80,0.8,15,0,"normal","Deals damage to the target equal to a random number from 1 to (user's level * 1.5 - 1), rounded down, but not less than 1 HP.",
"Quick Attack (电光一闪)","Normal","Physical",40,100,40,30,1,"normal","No additional effect.",
"Rage (愤怒)","Normal","Physical",20,100,20,20,0,"normal","Once this move is successfully used, the user automatically uses this move every turn and can no longer switch out. During the effect, the user's Attack is raised by 1 stage every time it is hit by the opposing Pokemon, and this move's accuracy is overwritten every turn with the current calculated accuracy including stat stage changes, but not to less than 1/256 or more than 255/256.",
"Razor Leaf (飞叶快刀)","Grass","Special",55,95,52.25,25,0,"normal","Has a higher chance for a critical hit.",
"Razor Wind (旋风刀)","Normal","Physical",80,75,60,10,0,"normal","This attack charges on the first turn and executes on the second.",
"Recover (自我再生)","Normal","Status",0,true,0,20,0,"self","The user restores 1/2 of its maximum HP, rounded down. Fails if (user's maximum HP - user's current HP + 1) is divisible by 256.",
"Reflect (反射壁)","Psychic","Status",0,true,0,20,0,"self","While the user remains active, its Defense is doubled when taking damage. Critical hits ignore this protection. This effect can be removed by Haze.",
"Rest (睡觉)","Psychic","Status",0,true,0,10,0,"self","The user falls asleep for the next two turns and restores all of its HP, curing itself of any non-volatile status condition in the process. This does not remove the user's stat penalty for burn or paralysis. Fails if the user has full HP.",
"Roar (吼叫)","Normal","Status",0,100,0,20,0,"normal","No competitive use.",
"Rock Slide (岩崩)","Rock","Physical",75,90,67.5,10,0,"normal","No additional effect.",
"Rock Throw (落石)","Rock","Physical",50,65,32.5,15,0,"normal","No additional effect.",
"Rolling Kick (回旋踢)","Fighting","Physical",60,85,51,15,0,"normal","Has a 30% chance to make the target flinch.",
"Sand Attack (泼沙)","Normal","Status",0,100,0,15,0,"normal","Lowers the target's accuracy by 1 stage.",
"Scratch (抓)","Normal","Physical",40,100,40,35,0,"normal","No additional effect.",
"Screech (刺耳声)","Normal","Status",0,85,0,40,0,"normal","Lowers the target's Defense by 2 stages.",
"Seismic Toss (地球上投)","Fighting","Physical",1,100,1,20,0,"normal","Deals damage to the target equal to the user's level. This move ignores type immunity.",
"Self-Destruct (玉石俱碎)","Normal","Physical",130,100,130,5,0,"normal","The user faints after using this move, unless the target's substitute was broken by the damage. The target's Defense is halved during damage calculation.",
"Sharpen (棱角化)","Normal","Status",0,true,0,30,0,"self","Raises the user's Attack by 1 stage.",
"Sing (唱歌)","Normal","Status",0,55,0,15,0,"normal","Causes the target to fall asleep.",
"Skull Bash (火箭头锤)","Normal","Physical",100,100,100,15,0,"normal","This attack charges on the first turn and executes on the second.",
"Sky Attack (神鸟猛击)","Flying","Physical",140,90,126,5,0,"any","This attack charges on the first turn and executes on the second.",
"Slam (摔打)","Normal","Physical",80,75,60,20,0,"normal","No additional effect.",
"Slash (劈开)","Normal","Physical",70,100,70,20,0,"normal","Has a higher chance for a critical hit.",
"Sleep Powder (催眠粉)","Grass","Status",0,75,0,15,0,"normal","Causes the target to fall asleep.",
"Sludge (污泥攻击)","Poison","Physical",65,100,65,20,0,"normal","Has a 40% chance to poison the target.",
"Smog (浊雾)","Poison","Physical",20,70,14,20,0,"normal","Has a 40% chance to poison the target.",
"Smokescreen (烟幕)","Normal","Status",0,100,0,20,0,"normal","Lowers the target's accuracy by 1 stage.",
"Soft-Boiled (生蛋)","Normal","Status",0,true,0,10,0,"self","The user restores 1/2 of its maximum HP, rounded down. Fails if (user's maximum HP - user's current HP + 1) is divisible by 256.",
"Solar Beam (日光束)","Grass","Special",120,100,120,10,0,"normal","This attack charges on the first turn and executes on the second.",
"Sonic Boom (音爆)","Normal","Physical",1,90,0.9,20,0,"normal","Deals 20 HP of damage to the target. This move ignores type immunity.",
"Spike Cannon (尖刺加农炮)","Normal","Physical",20,100,20,15,0,"normal","Hits two to five times. Has a 3/8 chance to hit two or three times, and a 1/8 chance to hit four or five times. Damage is calculated once for the first hit and used for every hit. If one of the hits breaks the target's substitute, the move ends.",
"Splash (跃起)","Normal","Status",0,true,0,40,0,"self","No competitive use.",
"Spore (蘑菇孢子)","Grass","Status",0,100,0,15,0,"normal","Causes the target to fall asleep.",
"Stomp (踩踏)","Normal","Physical",65,100,65,20,0,"normal","Has a 30% chance to make the target flinch.",
"Strength (怪力)","Normal","Physical",80,100,80,15,0,"normal","No additional effect.",
