1,"Bulbasaur (妙蛙种子)","Grass","Poison",45,49,49,65,65,45,318,"Overgrow (茂盛)","","","",
2,"Ivysaur (妙蛙草)","Grass","Poison",60,62,63,80,80,60,405,"Overgrow (茂盛)","","","",
3,"Venusaur (妙蛙花)","Grass","Poison",80,82,83,100,100,80,525,"Overgrow (茂盛)","","","",
4,"Charmander (小火龙)","Fire","",39,52,43,60,50,65,309,"Blaze (猛火)","","","",
5,"Charmeleon (火恐龙)","Fire","",58,64,58,80,65,80,405,"Blaze (猛火)","","","",
6,"Charizard (喷火龙)","Fire","Flying",78,84,78,109,85,100,534,"Blaze (猛火)","","","",
7,"Squirtle (杰尼龟)","Water","",44,48,65,50,64,43,314,"Torrent (激流)","","","",
8,"Wartortle (卡咪龟)","Water","",59,63,80,65,80,58,405,"Torrent (激流)","","","",
9,"Blastoise (水箭龟)","Water","",79,83,100,85,105,78,530,"Torrent (激流)","","","",
10,"Caterpie (绿毛虫)","Bug","",45,30,35,20,20,45,195,"Shield Dust (鳞粉)","","","",
11,"Metapod (铁甲蛹)","Bug","",50,20,55,25,25,30,205,"Shed Skin (蜕皮)","","","",
12,"Butterfree (巴大蝶)","Bug","Flying",60,45,50,80,80,70,385,"Compound Eyes (复眼)","","","",
13,"Weedle (独角虫)","Bug","Poison",40,35,30,20,20,50,195,"Shield Dust (鳞粉)","","","",
14,"Kakuna (铁壳蛹)","Bug","Poison",45,25,50,25,25,35,205,"Shed Skin (蜕皮)","","","",
15,"Beedrill (大针蜂)","Bug","Poison",65,80,40,45,80,75,385,"Swarm (虫之预感)","","","",
16,"Pidgey (波波)","Normal","Flying",40,45,40,35,35,56,251,"Keen Eye (锐利目光)","Tangled Feet (蹒跚)","","",
17,"Pidgeotto (比比鸟)","Normal","Flying",63,60,55,50,50,71,349,"Keen Eye (锐利目光)","Tangled Feet (蹒跚)","","",
18,"Pidgeot (大比鸟)","Normal","Flying",83,80,75,70,70,91,469,"Keen Eye (锐利目光)","Tangled Feet (蹒跚)","","",
19,"Rattata (小拉达)","Normal","",30,56,35,25,35,72,253,"Run Away (逃跑)","Guts (毅力)","","",
20,"Raticate (拉达)","Normal","",55,81,60,50,70,97,413,"Run Away (逃跑)","Guts (毅力)","","",
21,"Spearow (烈雀)","Normal","Flying",40,60,30,31,31,70,262,"Keen Eye (锐利目光)","","","",
22,"Fearow (大嘴雀)","Normal","Flying",65,90,65,61,61,100,442,"Keen Eye (锐利目光)","","","",
23,"Ekans (阿柏蛇)","Poison","",35,60,44,40,54,55,288,"Intimidate (威吓)","Shed Skin (蜕皮)","","",
24,"Arbok (阿柏怪)","Poison","",60,85,69,65,79,80,438,"Intimidate (威吓)","Shed Skin (蜕皮)","","",
25,"Pikachu (皮卡丘)","Electric","",35,55,30,50,40,90,300,"Static (静电)","","","",
26,"Raichu (雷丘)","Electric","",60,90,55,90,80,100,475,"Static (静电)","","","",
27,"Sandshrew (穿山鼠)","Ground","",50,75,85,20,30,40,300,"Sand Veil (沙隐)","","","",
28,"Sandslash (穿山王)","Ground","",75,100,110,45,55,65,450,"Sand Veil (沙隐)","","","",
29,"Nidoran-F (尼多兰)","Poison","",55,47,52,40,40,41,275,"Poison Point (毒刺)","Rivalry (斗争心)","","",
30,"Nidorina (尼多娜)","Poison","",70,62,67,55,55,56,365,"Poison Point (毒刺)","Rivalry (斗争心)","","",
31,"Nidoqueen (尼多后)","Poison","Ground",90,82,87,75,85,76,495,"Poison Point (毒刺)","Rivalry (斗争心)","","",
32,"Nidoran-M (尼多朗)","Poison","",46,57,40,40,40,50,273,"Poison Point (毒刺)","Rivalry (斗争心)","","",
33,"Nidorino (尼多力诺)","Poison","",61,72,57,55,55,65,365,"Poison Point (毒刺)","Rivalry (斗争心)","","",
34,"Nidoking (尼多王)","Poison","Ground",81,92,77,85,75,85,495,"Poison Point (毒刺)","Rivalry (斗争心)","","",
35,"Clefairy (皮皮)","Normal","",70,45,48,60,65,35,323,"Cute Charm (迷人之躯)","Magic Guard (魔法防守)","","",
36,"Clefable (皮可西)","Normal","",95,70,73,85,90,60,473,"Cute Charm (迷人之躯)","Magic Guard (魔法防守)","","",
37,"Vulpix (六尾)","Fire","",38,41,40,50,65,65,299,"Flash Fire (引火)","","","",
38,"Ninetales (九尾)","Fire","",73,76,75,81,100,100,505,"Flash Fire (引火)","","","",
39,"Jigglypuff (胖丁)","Normal","",115,45,20,45,25,20,270,"Cute Charm (迷人之躯)","","","",
40,"Wigglytuff (胖可丁)","Normal","",140,70,45,75,50,45,425,"Cute Charm (迷人之躯)","","","",
41,"Zubat (超音蝠)","Poison","Flying",40,45,35,30,40,55,245,"Inner Focus (精神力)","","","",
42,"Golbat (大嘴蝠)","Poison","Flying",75,80,70,65,75,90,455,"Inner Focus (精神力)","","","",
43,"Oddish (走路草)","Grass","Poison",45,50,55,75,65,30,320,"Chlorophyll (叶绿素)","","","",
44,"Gloom (臭臭花)","Grass","Poison",60,65,70,85,75,40,395,"Chlorophyll (叶绿素)","","","",
45,"Vileplume (霸王花)","Grass","Poison",75,80,85,100,90,50,480,"Chlorophyll (叶绿素)","","","",
46,"Paras (派拉斯)","Bug","Grass",35,70,55,45,55,25,285,"Effect Spore (孢子)","Dry Skin (干燥皮肤)","","",
47,"Parasect (派拉斯特)","Bug","Grass",60,95,80,60,80,30,405,"Effect Spore (孢子)","Dry Skin (干燥皮肤)","","",
48,"Venonat (毛球)","Bug","Poison",60,55,50,40,55,45,305,"Compound Eyes (复眼)","Tinted Lens (有色眼镜)","","",
49,"Venomoth (摩鲁蛾)","Bug","Poison",70,65,60,90,75,90,450,"Shield Dust (鳞粉)","Tinted Lens (有色眼镜)","","",
50,"Diglett (地鼠)","Ground","",10,55,25,35,45,95,265,"Sand Veil (沙隐)","Arena Trap (沙穴)","","",
51,"Dugtrio (三地鼠)","Ground","",35,80,50,50,70,120,405,"Sand Veil (沙隐)","Arena Trap (沙穴)","","",
52,"Meowth (喵喵)","Normal","",40,45,35,40,40,90,290,"Pickup (捡拾)","Technician (技术高手)","","",
53,"Persian (猫老大)","Normal","",65,70,60,65,65,115,440,"Limber (柔软)","Technician (技术高手)","","",
54,"Psyduck (可达鸭)","Water","",50,52,48,65,50,55,320,"Damp (湿气)","Cloud Nine (无关天气)","","",
55,"Golduck (哥达鸭)","Water","",80,82,78,95,80,85,500,"Damp (湿气)","Cloud Nine (无关天气)","","",
56,"Mankey (猴怪)","Fighting","",40,80,35,35,45,70,305,"Vital Spirit (干劲)","Anger Point (愤怒穴位)","","",
57,"Primeape (火暴猴)","Fighting","",65,105,60,60,70,95,455,"Vital Spirit (干劲)","Anger Point (愤怒穴位)","","",
58,"Growlithe (卡蒂狗)","Fire","",55,70,45,70,50,60,350,"Intimidate (威吓)","Flash Fire (引火)","","",
59,"Arcanine (风速狗)","Fire","",90,110,80,100,80,95,555,"Intimidate (威吓)","Flash Fire (引火)","","",
60,"Poliwag (蚊香蝌蚪)","Water","",40,50,40,40,40,90,300,"Water Absorb (储水)","Damp (湿气)","","",
61,"Poliwhirl (蚊香君)","Water","",65,65,65,50,50,90,385,"Water Absorb (储水)","Damp (湿气)","","",
62,"Poliwrath (蚊香泳士)","Water","Fighting",90,85,95,70,90,70,500,"Water Absorb (储水)","Damp (湿气)","","",
63,"Abra (凯西)","Psychic","",25,20,15,105,55,90,310,"Synchronize (同步)","Inner Focus (精神力)","","",
64,"Kadabra (勇基拉)","Psychic","",40,35,30,120,70,105,400,"Synchronize (同步)","Inner Focus (精神力)","","",
65,"Alakazam (胡地)","Psychic","",55,50,45,135,85,120,490,"Synchronize (同步)","Inner Focus (精神力)","","",
66,"Machop (腕力)","Fighting","",70,80,50,35,35,35,305,"Guts (毅力)","No Guard (无防守)","","",
67,"Machoke (豪力)","Fighting","",80,100,70,50,60,45,405,"Guts (毅力)","No Guard (无防守)","","",
